vehicleid,vehiclebrand,vehiclemodel
14802,NISSAN,NOTE
14807,TOYOTA,CAMRY
14808,TOYOTA,VIOS
14809,TOYOTA,VELOZ
14810,TOYOTA,ATIV
14811,HONDA,CITY_Sedan
14812,HONDA,CITY_Sedan
14814,TOYOTA,ATIV
14815,TOYOTA,ATIV
14818,HONDA,CITY_Sedan
14823,ISUZU,MU-X
14828,TOYOTA,ATIV
14829,TOYOTA,VIOS
14830,TOYOTA,VIOS
14840,MAZDA,2_Sedan
14857,ORA,GOODCAT
14860,TOYOTA,ATIV
14864,MG,5
14872,BYD,ATTO_3
14873,BYD,ATTO_3
14874,BYD,ATTO_3
14875,BYD,ATTO_3
14876,BYD,ATTO_3
14887,BYD,ATTO_3
14888,BYD,ATTO_3
14889,BYD,ATTO_3
14890,BYD,ATTO_3
14893,MINI,COOPER_S
14900,MG,5
14902,MITSUBISHI,ATTRAGE
14907,BYD,ATTO_3
14910,TOYOTA,ATIV
14923,HONDA,CITY_Sedan
14924,HONDA,CITY_Sedan
14927,TOYOTA,ATIV
14928,TOYOTA,ATIV
14929,FORD,RANGER_4_DOOR
14933,NISSAN,JUKE
14951,TOYOTA,CAMRY_HYBRID
14952,HONDA,CITY_Sedan
14959,MITSUBISHI,XPANDER
14960,TOYOTA,ATIV
14974,NETA,V
14978,TOYOTA,FORTUNER
14991,VOLVO,XC40
14995,AUDI,A5
14997,MG,HS_PHEV
14999,KIA,GRAND_CARNIVAL
15027,MAZDA,2_Hatchback
15029,HONDA,CIVIC_Sedan
15032,ORA,GOODCAT
15034,MAZDA,2_Sedan
15064,TOYOTA,COMMUTER
15066,NETA,V
15067,MG,ZS_EV
15073,TOYOTA,ALPHARD
15075,MAZDA,CX-30
15076,TOYOTA,ALTIS
15079,TOYOTA,COMMUTER
15080,TOYOTA,COMMUTER
15081,TOYOTA,COMMUTER
15083,TOYOTA,ALPHARD
15085,MG,4
15091,SUZUKI,SWIFT
15095,MERCEDES_BENZ,C250
15096,MITSUBISHI,XPANDER
15097,TOYOTA,VELOZ
15098,MG,EP
15108,VINFAST,LUX A2.0
15110,MAZDA,3_Hatchback
15112,TOYOTA,CAMRY
15113,KIA,Rio
15129,TOYOTA,VIOS
15130,TOYOTA,VIOS
15131,MITSUBISHI,XPANDER
15133,TOYOTA,VIOS
15134,MAZDA,2_Sedan
15139,HONDA,CIVIC_Sedan
15141,NISSAN,ALMERA
15143,TOYOTA,ALPHARD
15144,TOYOTA,ALPHARD_HYBRID
15145,TOYOTA,ALPHARD
15147,TOYOTA,YARIS
15156,TOYOTA,COMMUTER
15167,ORA,GOODCAT
15169,HYUNDAI,H-1
15171,TOYOTA,COMMUTER-VIP
15174,TOYOTA,COMMUTER
15176,TOYOTA,ATIV
15181,MG,4
15183,MG,EP
15184,MG,ZS
15188,TOYOTA,CROSS_HYBRID
15189,TOYOTA,COMMUTER
15191,TOYOTA,COMMUTER
15193,HYUNDAI,H-1-VIP
15196,HONDA,CITY_Sedan
15204,ORA,GOODCAT
15205,HONDA,ACCORD
15211,TOYOTA,COMMUTER
15212,TOYOTA,CAMRY
15213,NETA,V
15214,BMW,320D
15215,HONDA,CITY_Hatchback
15219,BMW,X7
15229,TOYOTA,HIACE
15234,NISSAN,MARCH
15235,HYUNDAI,STARIA
15236,TOYOTA,COMMUTER
15238,SUZUKI,CIAZ
15239,TOYOTA,HIACE
15241,TOYOTA,ALPHARD
15243,FORD,EVEREST
15244,TOYOTA,YARIS
15247,TOYOTA,YARIS
15248,TOYOTA,CROSS
15250,MG,5
15257,MG,5
15258,TOYOTA,COMMUTER
15260,TOYOTA,COMMUTER
15262,MAZDA,2_Sedan
