userid,sex,nationality,age,usertype
312856,Male,China,34,UNSPECIFIED
79687,Male,Thai,26,STUDENT
29845,Male,Thai,26,STUDENT
279521,Male,Thai,21,UNSPECIFIED
288603,Female,Thai,30,GENERAL
16794,Male,Thai,34,GENERAL
300373,Female,Thai,29,UNSPECIFIED
322556,Male,Japanese,24,GENERAL
296571,Female,Thai,26,UNSPECIFIED
314210,Male,Thai,31,UNSPECIFIED
13038,Male,Thai,32,GENERAL
319278,Female,Thai,68,GENERAL
88381,Female,Thai,32,GENERAL
276602,Male,Thai,44,GENERAL
319285,Male,Thai,45,GENERAL
263713,Female,Thai,40,GENERAL
256319,Male,Thai,27,GENERAL
323757,Female,Thai,42,GENERAL
323027,Male,Thai,21,GENERAL
5414,Male,Thai,36,UNSPECIFIED
310643,Male,Malaysia,55,UNSPECIFIED
323216,Female,Thai,28,GENERAL
300894,Male,Thai,33,UNSPECIFIED
322601,Male,Thai,42,GENERAL
323962,Male,Thai,28,GENERAL
301922,Male,Thai,23,UNSPECIFIED
312613,Female,Thai,36,UNSPECIFIED
194975,Male,Thai,29,GENERAL
304549,Female,Thai,24,UNSPECIFIED
317166,Male,Thai,49,GENERAL
322626,Female,Thai,30,GENERAL
324861,Female,Thai,43,GENERAL
289264,Male,Thai,28,GENERAL
289996,Female,Thai,29,GENERAL
289512,Male,Thai,35,UNSPECIFIED
329432,Male,Thai,35,GENERAL
309479,Female,Thai,45,UNSPECIFIED
330132,Female,Thai,34,GENERAL
319248,Male,Thai,31,GENERAL
315493,Female,Thai,44,UNSPECIFIED
328514,Male,Russian,36,GENERAL
325167,Male,U.S.A,37,GENERAL
277503,Female,Thai,53,GENERAL
27421,Male,Thai,55,GENERAL
311162,Male,Thai,23,UNSPECIFIED
315000,Male,Thai,20,UNSPECIFIED
327313,Male,German,37,GENERAL
239049,Male,Thai,37,GENERAL
287980,Male,Thai,34,GENERAL
315059,Female,Thai,30,UNSPECIFIED
194235,Female,Thai,27,STUDENT
121517,Male,Thai,29,GENERAL
109105,Female,Thai,24,GENERAL
336794,Male,English,40,GENERAL
335872,Female,Thai,27,GENERAL
7888,Male,Thai,48,GENERAL
32595,Male,Thai,37,GENERAL
337447,Male,Thai,23,GENERAL
123351,Male,Thai,23,STUDENT
340023,Male,Thai,32,GENERAL
341974,Male,Thai,39,GENERAL
