,age,sex,nationality,usertype,stationtype,vehiclebrand,vehiclemodel,enginetype,vehiclesize,vehicletype,timeofday,dayofweek,holiday,reservation_count,view_count,predicted_score
32,25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,PRIUS_HYBRID,Non-EV,M,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013211826
101,25-45,Male,Thai,GENERAL,OTHER STATION,MERCEDES_BENZ,C200,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013177833
132,25-45,Male,Thai,GENERAL,OTHER STATION,MERCEDES_BENZ,C220,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013167569
77,25-45,Male,Thai,GENERAL,OTHER STATION,MERCEDES_BENZ,C250,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013157278
38,25-45,Male,Thai,GENERAL,OTHER STATION,MERCEDES_BENZ,C350e_PHEV,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013146978
95,25-45,Male,Thai,GENERAL,OTHER STATION,ISUZU,D-Max-CAB_4_DOOR,Non-EV,L,PICK_UP_4_DOOR,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013063252
51,25-45,Male,Thai,GENERAL,OTHER STATION,NISSAN,JUKE,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013059201
39,25-45,Male,Thai,GENERAL,OTHER STATION,NISSAN,KICKS_e-POWER_HYBRID,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013048947
10,25-45,Male,Thai,GENERAL,OTHER STATION,ISUZU,D-Max_4_DOOR,Non-EV,L,PICK_UP_4_DOOR,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013042726
58,25-45,Male,Thai,GENERAL,OTHER STATION,BYD,ATTO_3,EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013037538
155,25-45,Male,Thai,GENERAL,OTHER STATION,MG,ES,EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013034809
111,25-45,Male,Thai,GENERAL,OTHER STATION,MERCEDES_BENZ,CLA250,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013033934
