,userid,age,sex,nationality,usertype,vehiclebrand,vehiclemodel,enginetype,vehiclesize,vehicletype,stationtype,timeofday,dayofweek,holiday,reservation_count,view_count
97,430,25-45,Male,Thai,GENERAL,NISSAN,LEAF,EV,L,HATCHBACK,OTHER STATION,LATE NIGHT,WEEKDAY,Yes,1.0,0.0
98,430,25-45,Male,Thai,GENERAL,NISSAN,LEAF,EV,L,HATCHBACK,OTHER STATION,LATE NIGHT,WEEKEND,No,1.0,0.0
99,430,25-45,Male,Thai,GENERAL,NISSAN,LEAF,EV,L,HATCHBACK,OTHER STATION,LEISURE HOURS,WEEKDAY,No,0.0,4.0
100,430,25-45,Male,Thai,GENERAL,NISSAN,LEAF,EV,L,HATCHBACK,OTHER STATION,LEISURE HOURS,WEEKEND,No,0.0,1.0
101,430,25-45,Male,Thai,GENERAL,NISSAN,LEAF,EV,L,HATCHBACK,OTHER STATION,WORK HOURS,WEEKDAY,No,3.0,24.0
102,430,25-45,Male,Thai,GENERAL,NISSAN,LEAF,EV,L,HATCHBACK,OTHER STATION,WORK HOURS,WEEKEND,No,0.0,9.0
103,430,25-45,Male,Thai,GENERAL,NISSAN,X-TRAIL,Non-EV,XL,SUV,OTHER STATION,LATE NIGHT,WEEKDAY,No,4.0,0.0
104,430,25-45,Male,Thai,GENERAL,NISSAN,X-TRAIL,Non-EV,XL,SUV,OTHER STATION,LATE NIGHT,WEEKEND,No,1.0,0.0
105,430,25-45,Male,Thai,GENERAL,NISSAN,X-TRAIL,Non-EV,XL,SUV,OTHER STATION,WORK HOURS,WEEKDAY,No,4.0,1.0
106,430,25-45,Male,Thai,GENERAL,NISSAN,X-TRAIL,Non-EV,XL,SUV,OTHER STATION,WORK HOURS,WEEKEND,No,1.0,0.0
107,430,25-45,Male,Thai,GENERAL,ORA,GOODCAT,EV,M,HATCHBACK,OTHER STATION,LATE NIGHT,WEEKDAY,No,0.0,1.0
108,430,25-45,Male,Thai,GENERAL,ORA,GOODCAT,EV,M,HATCHBACK,OTHER STATION,LEISURE HOURS,WEEKEND,Yes,0.0,1.0
109,430,25-45,Male,Thai,GENERAL,ORA,GOODCAT,EV,M,HATCHBACK,OTHER STATION,WORK HOURS,WEEKDAY,No,0.0,1.0
110,430,25-45,Male,Thai,GENERAL,ORA,GOODCAT,EV,M,HATCHBACK,OTHER STATION,WORK HOURS,WEEKDAY,Yes,0.0,1.0
111,430,25-45,Male,Thai,GENERAL,ORA,GOODCAT,EV,M,HATCHBACK,OTHER STATION,WORK HOURS,WEEKEND,No,0.0,2.0
112,430,25-45,Male,Thai,GENERAL,ORA,GOODCAT,EV,M,HATCHBACK,OTHER STATION,WORK HOURS,WEEKEND,Yes,0.0,1.0
113,430,25-45,Male,Thai,GENERAL,SUZUKI,SWIFT,Non-EV,XS,HATCHBACK,OTHER STATION,LATE NIGHT,WEEKDAY,No,1.0,0.0
